Step,ObjectName,Description,Action,Input,Condition,Reference
1,Browser,Open the Url [<Data>] in the Browser,Open,@http://localhost:4200/#,,
2,Sell Product,"Click the [<Object>] ",Click,,,ING
3,Product Name,"Click the [<Object>] ",Click,,,ING
4,Product Name,Enter the value [<Data>] in the Field [<Object>],Set,@CITS_Product2,,ING
5,Amount,Enter the value [<Data>] in the Field [<Object>],Set,@2600000,,ING
6,Description,Enter the value [<Data>] in the Field [<Object>],Set,@CITS automation2,,ING
7,Add,"Click the [<Object>] ",Click,,,ING
8,nav-link dropdown-toggle,"Click the [<Object>] ",Click,,,ING
9,Logout,"Click the [<Object>] ",Click,,,ING
